Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-12-23 10:00:00+00:00,25706.75,25725.0,25699.0,25718.5,888
2025-12-23 10:30:00+00:00,25706.5,25711.0,25699.25,25705.0,1258
2025-12-23 11:00:00+00:00,25697.5,25709.5,25687.0,25706.5,1267
2025-12-23 11:30:00+00:00,25694.0,25705.0,25690.0,25696.5,766
2025-12-23 12:00:00+00:00,25666.25,25702.0,25664.25,25694.25,2293
2025-12-23 12:30:00+00:00,25685.25,25685.75,25661.0,25665.5,1591
2025-12-23 13:00:00+00:00,25671.25,25687.0,25661.0,25684.75,2161
2025-12-23 13:30:00+00:00,25619.75,25679.0,25608.25,25674.75,10852
2025-12-23 14:00:00+00:00,25644.75,25647.0,25609.0,25621.0,7820
2025-12-23 14:30:00+00:00,25692.75,25751.25,25638.0,25644.25,57225
2025-12-23 15:00:00+00:00,25673.25,25694.75,25628.25,25692.25,39825
2025-12-23 15:30:00+00:00,25731.25,25741.0,25671.75,25673.25,26195
2025-12-23 16:00:00+00:00,25743.75,25754.5,25726.5,25731.5,21395
2025-12-23 16:30:00+00:00,25773.25,25776.5,25730.75,25743.5,19254
2025-12-23 17:00:00+00:00,25765.75,25777.75,25761.25,25774.0,11538
2025-12-23 17:30:00+00:00,25754.75,25772.75,25750.75,25766.25,12895
2025-12-23 18:00:00+00:00,25770.75,25780.25,25751.5,25754.25,11505
2025-12-23 18:30:00+00:00,25774.0,25780.0,25768.5,25770.75,8030
2025-12-23 19:00:00+00:00,25786.5,25791.75,25772.5,25774.0,10734
2025-12-23 19:30:00+00:00,25797.25,25800.5,25782.0,25786.25,9653
2025-12-23 20:00:00+00:00,25798.25,25806.25,25793.75,25797.0,10926
2025-12-23 20:30:00+00:00,25811.25,25820.5,25792.25,25798.0,23818
2025-12-23 21:00:00+00:00,25815.75,25822.5,25806.25,25811.25,7973
2025-12-23 21:30:00+00:00,25811.5,25818.5,25801.75,25815.5,2193
2025-12-23 23:00:00+00:00,25807.5,25819.25,25801.0,25815.75,841
2025-12-23 23:30:00+00:00,25809.75,25811.75,25800.25,25806.5,872
2025-12-24 00:00:00+00:00,25815.25,25827.0,25808.5,25810.0,1593
2025-12-24 00:30:00+00:00,25815.75,25821.75,25811.75,25815.75,627
2025-12-24 01:00:00+00:00,25812.5,25822.5,25809.0,25816.5,843
2025-12-24 01:30:00+00:00,25808.0,25819.5,25802.0,25812.5,1232
2025-12-24 02:00:00+00:00,25799.75,25812.25,25797.5,25807.0,970
2025-12-24 02:30:00+00:00,25793.25,25801.0,25782.75,25799.25,1659
2025-12-24 03:00:00+00:00,25796.0,25796.75,25786.25,25793.0,775
2025-12-24 03:30:00+00:00,25797.0,25802.5,25794.75,25795.25,653
2025-12-24 04:00:00+00:00,25791.0,25802.25,25788.75,25796.25,602
2025-12-24 04:30:00+00:00,25783.0,25793.25,25781.0,25790.75,795
2025-12-24 14:30:00+00:00,25809.75,25827.5,25784.0,25795.0,29930
2025-12-24 15:00:00+00:00,25815.5,25840.75,25803.75,25809.5,20770
2025-12-24 15:30:00+00:00,25828.75,25832.5,25808.75,25816.0,13354
2025-12-24 16:00:00+00:00,25853.5,25856.25,25828.0,25829.0,14658
2025-12-24 16:30:00+00:00,25876.25,25885.0,25850.5,25853.5,16764
2025-12-24 17:00:00+00:00,25874.5,25882.25,25864.0,25876.5,10568
2025-12-24 17:30:00+00:00,25877.75,25892.0,25865.0,25874.75,16276
2025-12-26 05:00:00+00:00,25885.75,25888.5,25877.0,25879.5,552
2025-12-26 05:30:00+00:00,25876.25,25885.25,25871.0,25885.25,600
2025-12-26 06:00:00+00:00,25872.25,25880.75,25871.0,25876.5,421
2025-12-26 06:30:00+00:00,25871.75,25880.0,25868.0,25872.75,694
2025-12-26 07:00:00+00:00,25863.0,25873.25,25849.5,25871.5,984
2025-12-26 07:30:00+00:00,25860.25,25871.0,25857.25,25862.0,710
2025-12-26 08:00:00+00:00,25852.75,25862.0,25844.0,25859.5,971
2025-12-26 08:30:00+00:00,25857.5,25861.0,25843.25,25851.75,737
2025-12-26 09:00:00+00:00,25861.5,25871.5,25854.75,25857.25,1053
2025-12-26 09:30:00+00:00,25876.0,25878.5,25861.75,25861.75,667
2025-12-26 10:00:00+00:00,25883.25,25899.0,25875.5,25876.5,1222
2025-12-26 10:30:00+00:00,25882.25,25891.0,25879.25,25883.5,539
2025-12-26 11:00:00+00:00,25880.25,25888.5,25879.25,25884.25,533
2025-12-26 11:30:00+00:00,25876.5,25883.5,25866.25,25879.25,1014
2025-12-26 12:00:00+00:00,25883.0,25887.5,25869.0,25876.0,871
2025-12-26 12:30:00+00:00,25890.0,25897.0,25881.0,25884.25,1025
2025-12-26 13:00:00+00:00,25894.25,25902.75,25886.75,25890.0,1738
2025-12-26 13:30:00+00:00,25896.5,25923.25,25890.75,25894.0,4034
2025-12-26 14:00:00+00:00,25899.5,25912.0,25891.5,25897.0,3858
2025-12-26 14:30:00+00:00,25881.0,25935.25,25864.5,25899.0,36390
2025-12-26 15:00:00+00:00,25883.5,25886.5,25834.25,25881.0,29181
2025-12-26 15:30:00+00:00,25899.5,25906.0,25873.75,25883.5,16737
2025-12-26 16:00:00+00:00,25881.25,25912.0,25857.0,25899.0,18284
2025-12-26 16:30:00+00:00,25873.75,25890.25,25873.0,25881.75,9667
